original_name,source_name,source_id,status
report_power_to_ammonia_2018,PowerToAmmonia2018,SRC_00001,created
conversion_parametrization,ConversionParametrization,SRC_00002,created
report_danish_energy_2025,DanishEnergyAgency2025,SRC_00003,created
paper_CCGT_2024,CCGT2024,SRC_00004,created
report_VSE_2025,VSE2025,SRC_00005,created
report_VSE_2022,VSE2022,SRC_00006,created
source_share,ShareRef,SRC_00007,created
report_jrc_2021,JRC2021,SRC_00008,created
assumption_reFuelWP3_2025,Assumption2025,SRC_00009,created
book_hydropower_2020,FutureEnergy2020,SRC_00010,created
assumption_PVcostProjection,AssumptionPVcostProjection,SRC_00011,created
assumption_Empa_PV_OM,EmpaPVOMAssumption,SRC_00012,created
paper_alpinePV_2024,ETHZAlpinePV2024,SRC_00013,created
linear_interpolation_2020_2050,LinearInterpolation20202050,SRC_00014,created
paper_biogas,BiogasUpgrading2020,SRC_00015,created
paper_müller_PowerX_2025,MüllerPowerX2025,SRC_00016,created
report_danish_energy_2026,DanishEnergy2026,SRC_00017,created
linear_interpolation_2030_2050,LinearInterpolation20202050,SRC_00014,exact
paper_RWGS,CoupledCatalyticReactions2024,SRC_00018,created
Allgoewer_2024,ETH2024,SRC_00019,created
paper_mutschler_2018,Mutschler2018,SRC_00020,created
paper_e-fuel production,AviationEFuel2024,SRC_00021,created
paper_Msw to syngas,MSWToSyngas,SRC_00022,created
AECOM_2022,AECOM2022,SRC_00023,created
biochar_jcp_2025,BiocharFeasibility2025,SRC_00024,created
report_BFE_EP2050plus_CCS_2020,BFE2050plusCCS2020,SRC_00025,created
web_BatteryCH_2023,AlpVoltBattery2023,SRC_00026,created
web_Battery_OM_2025,NRELATBFOM2024,SRC_00027,created
assumption_Empa_battery_capex_2025,Empa2025,SRC_00028,created
report_ASSET_2018,ASSET2018,SRC_00029,created
report_gas_compression_2014,OstGasCompression2014,SRC_00030,created
report_gas_storage_2017,GasStorageSwitzerland2017,SRC_00031,created
